Index	Formation_Energy_eV	Atomization_Energy_eV	Bandgap_eV	Bandgap_nm	Smallest_Direct_Bandgap_eV	Smallest_Direct_Bandgap_nm	No_of_im_wave_nos_dimensionless	Lowest_wave_no_cm-1	Lowest_wave_no_THz	q*_A-1	I1/I3_dimensionless	I2/I3_dimensionless
437	0.396358	-4.870676195	4.23780574	292.5669442	4.23780574	292.5669442	1	-13.601583	-0.4077645771	0.14	0.389283	0.918447
438	0.415107	-4.749692402	3.96653588	312.5754847	3.96653588	312.5754847	4	-192.765257	-5.778948193	0	0.401718	0.931253
439	0.451323	-4.516808958	0.15534288	7981.324123	1.52135979	814.9563854	1	-19.117131	-0.5731162937	0.5	0.800628	0.98041
440	0.348742	-4.691102382	6.38375751	194.2181973	6.38375751	194.2181973	1	-32.216525	-0.9658256463	0.5	0.253057	0.895217
441	0.393626	-4.574505665	0.10158081	12205.47341	1.44533961	857.8204505	1	-23.5883	-0.7071583634	0.5	0.80921	0.991154
442	0.270663	-4.56534257	2.96497645	418.1624699	3.51018671	353.2125148	1	-46.733361	-1.401028776	0.5	0.377335	0.941572
443	0.381885	-4.657959003	5.34598468	231.9202073	5.3797925	230.4627689	1	-44.207385	-1.325302036	0.5	0.37098	0.91136
444	0.473738	-4.36226765	1.96326859	631.5192337	2.17921731	568.9390726	1	-45.622959	-1.367739812	0.5	0.420583	0.933719
445	0.514782	-4.368869142	5.32777408	232.7129223	5.32777408	232.7129223	1	-37.03635	-1.110320144	0.5	0.366178	0.922523
446	0.262614	-4.643472934	3.90454068	317.5384705	4.94879317	250.5341874	1	-39.969017	-1.198239154	0.5	0.393208	0.856821
447	0.166415	-4.585633263	4.52433545	274.0384503	5.21425031	237.7795084	1	-39.233935	-1.176201984	0.5	0.370276	0.903272
448	0.32676	-4.579327001	3.92572469	315.8249682	4.97655809	249.1364218	1	-38.666513	-1.159191127	0.5	0.412024	0.838413
449	0.626831	-4.446866267	2.94938011	420.3737156	3.49454107	354.7939059	1	-30.06931	-0.9014538584	0.5	0.415897	0.91894
450	0.156051	-4.442263153	5.03719821	246.1372024	5.74815669	215.6938202	1	-43.751114	-1.311623397	0.5	0.362508	0.912997
451	0.309918	-4.442468358	3.98794103	310.8977455	5.00199422	247.8695138	1	-33.247626	-0.9967372294	0.5	0.345801	0.938278
452	0.042451	-4.555863337	5.15050848	240.7222278	5.32993721	232.6184768	1	-45.975297	-1.378302624	0.5	0.286622	0.9006
453	0.234453	-4.363861457	4.75818188	260.5705092	5.38022574	230.444211	1	-49.900752	-1.495984624	0.5	0.369835	0.90741
454	0.690555	-4.613391155	2.37971553	521.0042376	2.37971553	521.0042376	1	-32.36654	-0.970322976	0.5	0.614178	0.898075
455	0.251821	-4.500564728	3.67095684	337.7435174	4.58561913	270.3761129	1	-38.319647	-1.148792361	0.5	0.455518	0.823238
456	0.611709	-4.569056966	2.27179461	545.7543873	2.28481105	542.6452552	1	-18.549833	-0.5561091535	0.11	0.244091	0.865475
457	0.686398	-4.494367876	3.31457189	374.0579226	3.3181573	373.6537371	2	-23.052318	-0.6910900518	0.1	0.188587	0.888462
458	0.239838	-4.512548381	3.97852244	311.633752	5.22385814	237.3421793	1	-41.256161	-1.236826702	0.5	0.391129	0.868447
459	0.161442	-4.248240196	3.18216554	389.6220545	3.48710859	355.5501194	1	-9.173164	-0.2750041182	0.11	0.385503	0.939843
460	0.506015	-4.510473042	3.19490566	388.0683837	3.19490566	388.0683837	1	-35.365017	-1.060214918	0.5	0.323411	0.827518
461	0.250796	-4.347518534	4.71487958	262.9636355	5.61086292	220.9716924	1	-44.417134	-1.331590144	0.5	0.358309	0.916679
462	0.315561	-4.436825329	3.66966096	337.8627859	4.84692204	255.7998386	1	-42.570163	-1.276219431	0.5	0.396324	0.856872
463	0.538872	-4.297134084	0.24103332	5143.860921	0.24834823	4992.352373	1	-63.943323	-1.916969669	0.5	0.259221	0.862243
464	0.49981	-4.4388109	2.86564276	432.657515	2.86564276	432.657515	2	-68.375406	-2.049839972	0.5	0.309375	0.963004
465	0.107429	-4.490884933	5.08844952	243.6580869	5.66048247	219.0346639	1	-42.855222	-1.284765271	0.5	0.353894	0.90083
466	0.124531	-4.328614987	3.05391164	405.9848554	3.33271804	372.0212333	1	-52.28025	-1.567320071	0.5	0.429059	0.939608
467	0.169599	-4.240817873	5.6428413	219.7194302	5.64814062	219.5132804	1	-41.231858	-1.236098117	0.5	0.346317	0.909352
468	0.206543	-4.467975378	3.1272866	396.4593061	3.1272866	396.4593061	1	-30.990602	-0.9290734555	0.5	0.389692	0.957802
469	0.250888	-4.309372521	3.13224644	395.8315219	3.18828034	388.8747987	1	-27.482942	-0.8239166148	0.5	0.539094	0.638222
